sku,ls_id,make,model,tag_main_category,tag_subcategory,tag_brand,tag_product_name,flags
2025-MERCURY-ME-60-ELPT-CT-4S-EFI-94,34073,Mercury,ME 60 ELPT CT 4S EFI,Marine,Outboards,Mercury,ME 60 ELPT CT 4S EFI,
2024-EASY-HAULER-AL-1610B-YC-302,54204,Easy Hauler,AL-1610B-YC,Marine,Boat Trailers,Easy Hauler,1000 lb Bunk Trailer,
2026-TRAILER-X-34422,34422,Trailer,X,Marine,Boat Trailers,Trailer,Boat Trailer,"BRAND: ""Trailer"" is not a brand name — confirm correct brand (Easy Hauler? OEM?); PRODUCT NAME: No model or code data — only ""X"" available. Needs manual product name."
2026-TORO-75747-444,56397,Toro,75747,Power Equipment,Zero Turn Mowers,Toro,TimeCutter® MyRIDE 75747,DUPLICATE SKU (first ls_id: 56397)
2026-CUB-CADET-13A6A9TS596-13A6A9TS596,57650,Cub Cadet,13A6A9TS596,Power Equipment,Riding Lawn Mowers,Cub Cadet,XT1 LT42,DUPLICATE SKU (first ls_id: 57647)
2023-MERCURY-ME-15-ELHPT-PK-4S-53,34041,Mercury,ME 15 ELHPT PK 4S,Marine,Outboards,Mercury,ME 15 ELHPT PK 4S,
2025-MERCURY-ME-20-EH-4S-91,34064,Mercury,ME 20 EH 4S,Marine,Outboards,Mercury,ME 20 EH 4S,DUPLICATE SKU (first ls_id: 34064)
2022-MERCURY-ME-8MH-4S-TMC-38,34004,Mercury,ME 8MH 4S TMC,Marine,Outboards,Mercury,ME 8MH 4S TMC,DUPLICATE SKU (first ls_id: 34004)
2023-MERCURY-ME-9.9ELH-4S-TMC-34,33996,Mercury,ME 9.9ELH 4S TMC,Marine,Outboards,Mercury,ME 9.9ELH 4S TMC,DUPLICATE SKU (first ls_id: 33996)
2026-CUB-CADET-13B5A2TLA10-SLX 50,58405,Cub Cadet,13B5A2TLA10,Power Equipment,Riding Lawn Mowers,Cub Cadet,SLX50,"PRODUCT NAME: Code shows ""NX 15 SLX50"" — extracted as ""SLX50"". Verify: is this the Cub Cadet SLX50 or NX series?"
2026-MERCURY-115-EXLPT-PRO-XS-34481,34481,Mercury,115 EXLPT PRO XS,Marine,Outboards,Mercury,115 EXLPT PRO XS,
2025-MERCURY-75-ELPT-34524,34524,Mercury,75 ELPT,Marine,Outboards,Mercury,75 ELPT,DUPLICATE SKU (first ls_id: 34524)
2025-MERCURY-ME-50-ELHPT-4S-EFI-40,34008,Mercury,ME 50 ELHPT 4S EFI,Marine,Outboards,Mercury,ME 50 ELHPT 4S EFI,
2026-MERCURY-ME-115XL-PXS4S-320,54278,Mercury,ME 115XL PXS4S,Marine,Outboards,Mercury,ME 115XL PXS4S,
2025-EASY-HAULER-1250#-PAINTED-TRAILE-304,54208,Easy Hauler,1250# PAINTED TRAILER 480 X 12B E-COAT,Marine,Boat Trailers,Easy Hauler,1250 lb Bunk Trailer,
2026-CUB-CADET-13B6A9TTA10-13B6A9TTA10,57691,Cub Cadet,13B6A9TTA10,Power Equipment,Riding Lawn Mowers,Cub Cadet,XT1 LT46,DUPLICATE SKU (first ls_id: 57689)
2025-TORO-77507-341,54932,Toro,77507,Power Equipment,Zero Turn Mowers,Toro,Z Master 77507,"PRODUCT NAME: Code shows ""HAVOC FAB DECK"" — verify correct Toro product line name (Z Master 2000?)."
2014-MERCURY-50-ELHPT-4S-EFI-97,34079,Mercury,50 ELHPT 4S EFI,Marine,Outboards,Mercury,50 ELHPT 4S EFI,
2026-CUB-CADET-13APA1TNA10-13APA1TNA10,57685,Cub Cadet,13APA1TNA10,Power Equipment,Riding Lawn Mowers,Cub Cadet,XT2 LX46,DUPLICATE SKU (first ls_id: 57682)
2022-MERCURY-ME-15-ELH-4S-51,34039,Mercury,ME 15 ELH 4S,Marine,Outboards,Mercury,ME 15 ELH 4S,
2023-MERCURY-60-ELPT-34496,34496,Mercury,60 ELPT,Marine,Outboards,Mercury,60 ELPT,
2026-TORO-75747-445,56398,Toro,75747,Power Equipment,Zero Turn Mowers,Toro,TimeCutter® MyRIDE 75747,
2026-MERCURY-ME-115XL-PXS4S-321,54279,Mercury,ME 115XL PXS4S,Marine,Outboards,Mercury,ME 115XL PXS4S,DUPLICATE SKU (first ls_id: 54279)
2026-TRAILER-X-34440,34440,Trailer,X,Marine,Boat Trailers,Trailer,Boat Trailer,"BRAND: ""Trailer"" is not a brand name — confirm correct brand (Easy Hauler? OEM?); PRODUCT NAME: No model or code data — only ""X"" available. Needs manual product name."
2025-MERCURY-ME-5MH-24,33968,Mercury,ME 5MH,Marine,Outboards,Mercury,ME 5MH,"PRODUCT NAME: Short-shaft portable outboard — consider consumer-friendly tag like ""2.5 HP Outboard"" vs technical ""ME 2.5MH 4S TMC"". | DUPLICATE SKU (first ls_id: 33968)"
2026-CUB-CADET-SLX50-TEMP,55097,Cub Cadet,SLX50,Power Equipment,Riding Lawn Mowers,Cub Cadet,XT2 SLX50,
2026-CUB-CADET-13A6A9TS596-13A6A9TS596,57644,Cub Cadet,13A6A9TS596,Power Equipment,Riding Lawn Mowers,Cub Cadet,XT1 LT42,DUPLICATE SKU (first ls_id: 57647)
26-MERCURY-ME-90ELPT-4S-ME 90,57612,Mercury,ME 90ELPT 4S,Marine,Outboards,Mercury,ME 90ELPT 4S,DUPLICATE SKU (first ls_id: 57612)
2025-MERCURY-ME-2.5MH-4S-TMC-5,33917,Mercury,ME 2.5MH 4S TMC,Marine,Outboards,Mercury,ME 2.5MH 4S TMC,"PRODUCT NAME: Short-shaft portable outboard — consider consumer-friendly tag like ""2.5 HP Outboard"" vs technical ""ME 2.5MH 4S TMC"". | DUPLICATE SKU (first ls_id: 33917)"
2026-MERCURY-50-ELPT-EFI-CT-34437,34437,Mercury,50 ELPT EFI CT,Marine,Outboards,Mercury,50 ELPT EFI CT,
2024-TRAILER-X-34518,34518,Trailer,X,Marine,Boat Trailers,Trailer,Boat Trailer,"BRAND: ""Trailer"" is not a brand name — confirm correct brand (Easy Hauler? OEM?); PRODUCT NAME: No model or code data — only ""X"" available. Needs manual product name. | DUPLICATE SKU (first ls_id: 34518)"
2025-MERCURY-ME-2.5MH-4S-TMC-6,33920,Mercury,ME 2.5MH 4S TMC,Marine,Outboards,Mercury,ME 2.5MH 4S TMC,"PRODUCT NAME: Short-shaft portable outboard — consider consumer-friendly tag like ""2.5 HP Outboard"" vs technical ""ME 2.5MH 4S TMC"". | DUPLICATE SKU (first ls_id: 33920)"
2023-MERCURY-ME-30-ELHPT-EFI-4S-106,34098,Mercury,ME 30 ELHPT EFI 4S,Marine,Outboards,Mercury,ME 30 ELHPT EFI 4S,DUPLICATE SKU (first ls_id: 34098)
2026-TORO-77283-77283,56759,Toro,77283,Power Equipment,Zero Turn Mowers,Toro,Z MASTER TF2 77283,DUPLICATE SKU (first ls_id: 56759)
2023-MERCURY-ME-3.5MH-4S-TMC-13,33939,Mercury,ME 3.5MH 4S TMC,Marine,Outboards,Mercury,ME 3.5MH 4S TMC,"PRODUCT NAME: Short-shaft portable outboard — consider consumer-friendly tag like ""2.5 HP Outboard"" vs technical ""ME 2.5MH 4S TMC"". | DUPLICATE SKU (first ls_id: 33939)"
2026-EASY-HAULER-AL-PTDB2023-305,54210,Easy Hauler,AL-PTDB2023,Marine,Boat Trailers,Easy Hauler,DRIVE ON BUNK TRAILER 18' 2300#,
2025-MERCURY-ME-2.5MH-4S-TMC-3,33911,Mercury,ME 2.5MH 4S TMC,Marine,Outboards,Mercury,ME 2.5MH 4S TMC,"PRODUCT NAME: Short-shaft portable outboard — consider consumer-friendly tag like ""2.5 HP Outboard"" vs technical ""ME 2.5MH 4S TMC"". | DUPLICATE SKU (first ls_id: 33911)"
2024-TORO-74532-340,54911,Toro,74532,Power Equipment,Zero Turn Mowers,Toro,GRANDSTAND HDM 74532,DUPLICATE SKU (first ls_id: 54911)
2024-MERCURY-ME-50-ELPT-4S-EFI-42,34014,Mercury,ME 50 ELPT 4S EFI,Marine,Outboards,Mercury,ME 50 ELPT 4S EFI,DUPLICATE SKU (first ls_id: 34014)
2026-CUB-CADET-ACSRY:RZTL:50-54-60--TEMP,55126,Cub Cadet,ACSRY:RZTL:50 54 60 DK TRI BAG,Power Equipment,Lawn Mower Accessories,Cub Cadet,50 54 60 DK TRI BAGGER,SUBCATEGORY: Accessory product (tri-bagger) — confirm Power Equipment > Lawn Mower Accessories is correct.
2022-MERCURY-ME-20-MLH-4S-104,34096,Mercury,ME 20 MLH 4S,Marine,Outboards,Mercury,ME 20 MLH 4S,DUPLICATE SKU (first ls_id: 34096)
2026-CUB-CADET-13APA1TEA10-13APA1TEA10,57678,Cub Cadet,13APA1TEA10,Power Equipment,Riding Lawn Mowers,Cub Cadet,XT2 LX42,DUPLICATE SKU (first ls_id: 57675)
2026-MERCURY-50-ELPT-EFI-CT-34446,34446,Mercury,50 ELPT EFI CT,Marine,Outboards,Mercury,50 ELPT EFI CT,
2025-MERCURY-ME-2.5MH-4S-TMC-10,33932,Mercury,ME 2.5MH 4S TMC,Marine,Outboards,Mercury,ME 2.5MH 4S TMC,"PRODUCT NAME: Short-shaft portable outboard — consider consumer-friendly tag like ""2.5 HP Outboard"" vs technical ""ME 2.5MH 4S TMC"". | DUPLICATE SKU (first ls_id: 33932)"
2025-MERCURY-40-ELPT-34506,34506,Mercury,40 ELPT,Marine,Outboards,Mercury,40 ELPT,
2025-MERCURY-ME-6MH-26,33974,Mercury,ME 6MH,Marine,Outboards,Mercury,ME 6MH,DUPLICATE SKU (first ls_id: 33974)
2022-MERCURY-ME-30-ELPT-EFI-4S-108,34102,Mercury,ME 30 ELPT EFI 4S,Marine,Outboards,Mercury,ME 30 ELPT EFI 4S,DUPLICATE SKU (first ls_id: 34102)
2026-MERCURY-150-XL-34468,34468,Mercury,150 XL,Marine,Outboards,Mercury,150 XL,
2023-MERCURY-90-EXLPT-CT-34490,34490,Mercury,90 EXLPT CT,Marine,Outboards,Mercury,90 EXLPT CT,DUPLICATE SKU (first ls_id: 34490)
2026-CUB-CADET-13APA9TTA10-13APA9TTA10,57694,Cub Cadet,13APA9TTA10,Power Equipment,Riding Lawn Mowers,Cub Cadet,XT1 LT46,DUPLICATE SKU (first ls_id: 57692)
2025-MERCURY-ME-9.9MH-4S-29,33983,Mercury,ME 9.9MH 4S,Marine,Outboards,Mercury,ME 9.9MH 4S,DUPLICATE SKU (first ls_id: 33983)
2021-MERCURY-ME-20-ELHPT-4S-105,34097,Mercury,ME 20 ELHPT 4S,Marine,Outboards,Mercury,ME 20 ELHPT 4S,
2025-TRAILER-X-34509,34509,Trailer,X,Marine,Boat Trailers,Trailer,Boat Trailer,"BRAND: ""Trailer"" is not a brand name — confirm correct brand (Easy Hauler? OEM?); PRODUCT NAME: No model or code data — only ""X"" available. Needs manual product name. | DUPLICATE SKU (first ls_id: 34509)"
2025-MERCURY-ME-2.5MH-4S-TMC-7,33923,Mercury,ME 2.5MH 4S TMC,Marine,Outboards,Mercury,ME 2.5MH 4S TMC,"PRODUCT NAME: Short-shaft portable outboard — consider consumer-friendly tag like ""2.5 HP Outboard"" vs technical ""ME 2.5MH 4S TMC"". | DUPLICATE SKU (first ls_id: 33923)"
2025-MERCURY-ME-25-ELPT-EFI-4S-56,34048,Mercury,ME 25 ELPT EFI 4S,Marine,Outboards,Mercury,ME 25 ELPT EFI 4S,
2023-MERCURY-ME-15-ELPHPT-PK-4S-55,34047,Mercury,ME 15 ELPHPT PK 4S,Marine,Outboards,Mercury,ME 15 ELPHPT PK 4S,DUPLICATE SKU (first ls_id: 34047)
2026-CUB-CADET-13APA1TNA10-XT2 LX46 46-in. 22 HP,57683,Cub Cadet,13APA1TNA10,Power Equipment,Riding Lawn Mowers,Cub Cadet,XT2 LX46,DUPLICATE SKU (first ls_id: 57683)
2026-TORO-75747-447,56400,Toro,75747,Power Equipment,Zero Turn Mowers,Toro,TimeCutter® MyRIDE 75747,DUPLICATE SKU (first ls_id: 56400)
