ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Meta: _product_sku,Meta: _product_year,Meta: _product_condition,Meta: _product_stock_status,Meta: _product_specs,Meta: _product_expert_id,Meta: _product_expert_review,Meta: _lightspeed_unit_id,Meta: _product_price,Meta: _product_msrp,Meta: _lightspeed_vin,Meta: _lightspeed_web_title,Meta: _lightspeed_color,Meta: _lightspeed_class,Meta: _lightspeed_unit_type,Meta: _lightspeed_raw_json,Meta: _lightspeed_last_sync,Meta: _lightspeed_unmapped_type,Meta: _product_monthly_payment,Reyco Category Slug
234,simple,HS-GUARDIAN-26,,2026 Hisun GUARDIAN ATV,1,0,visible,"Full-size utility ATV workhorse. Single-rider, selectable 4WD — built for hunting trips, traplines, and the kind of property work that beats up cheaper machines.","<p>The GUARDIAN is Hisun's full-size utility ATV — the workhorse end of the ATV line, built for the customers who actually use a quad to do things. Single-rider, selectable 2WD/4WD, full-size frame and the kind of build that holds up to weeks of camp logistics, trapline runs, and back-forty maintenance. Hisun's lifestyle photography from the Demo Day shoots shows the GUARDIAN doing exactly that kind of working — which lines up with how Kory's customers actually buy them.</p><p>Hunting groups running camps on the back road past Heyden and Aweres have picked up GUARDIANs over the last few seasons because the price-to-capability ratio works on a working machine. Trappers running long lines through Crown land want something that handles the whole season without putting the trip on hold for service — the GUARDIAN platform delivers that. Algoma highland property owners with real acreage to maintain land on this one because it does the storm cleanup, the firewood runs, and the brush-control work without complaint.</p><p>Reyco is an authorised Hisun dealer. Warranty registers in-house — Lynn manages the parts counter and the GUARDIAN paperwork passes through her desk. Ron handles Hisun-catalogue parts pulls when something needs replacing in the field. Lee in the service department covers the bench work — the same Lee who keeps the marine, engine, and full ATV/UTV side of the building running. All-under-one-roof service matters more on a working ATV than a recreational one; downtime costs you more.</p><p>For the working customer who wants a full-size single-rider Hisun without the price tag of a flagship sport machine, the GUARDIAN is where the conversation starts. Drop in to White Oak Drive to see the floor model and feel the difference between this and the HS 500. 11 White Oak Drive East, Sault Ste. Marie. 705-253-7828.</p><p>Accessory adds that come up most on GUARDIAN writeups: front winch with steel cable for trapline use, a heavy-duty gun rack, and the GUARDIAN-line storage boxes for working customers who carry tools through the season. Lynn handles the orders; Ron pulls Hisun parts off the catalogue. Stop in before committing to aftermarket — factory-fit gear holds up better in the conditions a working ATV gets pushed through.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/800_gray-guardian-400-105238.png,,,,,,,,,0,Hisun,HS-GUARDIAN-26,2026,new,on_order,"Make|Hisun
Model|GUARDIAN
Year|2026
Type|ATV
Class|ATV",8,"The GUARDIAN is the Hisun ATV I sell to working customers who already know what kind of season they put a quad through. Hunting groups and trappers are the steadiest customer base — guys who run camps off the Trans-Canada and need a machine that handles October to March without complaint. I have written one up recently for a property owner up the highlands who maintains his own trail network and was tired of replacing brand-name quads at twice the cost. Lee on the service bench keeps the warranty side covered, and that matters when the machine is part of how the work actually gets done. Honest sales-floor read: the GUARDIAN earns its keep, full stop. Stop in and sit one — easier than describing the build.",,,,,,,,,,,,,atvs
235,simple,HS-TACTIC-26,,2026 Hisun Tactic ATV,1,0,visible,"Mid-utility ATV. Single-rider, selectable 4WD — priced for customers who want more than entry-level without paying for a flagship spec.","<p>The Tactic is the mid-utility Hisun ATV — placed between the entry-level HS 400 and the full-size GUARDIAN for customers who want real capability without paying flagship-spec pricing. Single-rider, selectable 2WD/4WD, and the kind of mid-utility build that fits how a lot of rural buyers actually use a quad: real work, but not the heaviest commercial-end work.</p><p>The customer base for this one is the practical middle. Customers running mid-size properties around Iron Bridge or out toward Echo Bay who need a quad that does the firewood run, the storm cleanup after a Lake Superior windstorm, and the spring trail maintenance without sitting in the wrong size class. Hunters who want a single-rider quad for a few weekends a year and do not need a full-size workhorse year-round.</p><p>Reyco is an authorised Hisun dealer. Lee in the service department handles the bench work for the Tactic the same way he covers the rest of the ATV and UTV line — engines, drivetrain, suspension, all in-house. Lynn manages the parts counter where the warranty paperwork registers, and Ron pulls Hisun-catalogue parts when something needs swapping. The all-in-one-shop setup is the difference between a quad that gets ridden and a quad that ends up parked.</p><p>For customers wondering whether they need the GUARDIAN or whether the Tactic does the job, Kory's read tends to be: if you are mostly recreational with light utility, the Tactic is enough. If your property needs work done on it weekly through a full season, size up. Drop in to White Oak Drive to sit both and feel the difference. 11 White Oak Drive East, Sault Ste. Marie. 705-253-7828.</p><p>Worth asking about on the floor: a winch package, hand-guard kit for shoulder-season cold, and a basic cargo-box add-on for the customer using it as a property tool. Lynn manages parts orders, Ron handles the Hisun catalogue pulls. Trade-in conversation is open if you are stepping up from an entry quad — bring it in for an honest valuation.</p><p>11 White Oak Drive East, Sault Ste. Marie. 705-253-7828.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/800_tactic400blue-113644.png,,,,,,,,,0,Hisun,HS-TACTIC-26,2026,new,on_order,"Make|Hisun
Model|Tactic
Year|2026
Type|ATV
Class|ATV",8,"The Tactic is the Hisun I sell when the customer is honest about not needing a workhorse but does not want entry-level either. Most of the buyers I write up on this one have mid-acreage properties around Echo Bay or up in the Heyden area — real but not heavy property work, plus a few weekend rides. The price gap between this and the GUARDIAN is the reason the Tactic exists, and customers who land on it tend to stay happy because they did not over-buy. Lee in the service department covers it like the rest of the line. Honest sales-floor take: if you are between the Tactic and the GUARDIAN, ask yourself how many days a year you are actually working the quad. The answer makes the choice.",,,,,,,,,,,,,atvs
236,simple,HS-HS400-26,,2026 Hisun HS 400 ATV,1,0,visible,"Entry utility ATV. Single-rider, budget-honest pricing, selectable 4WD — sized for light firewood hauling, storm cleanup, and small-property work.","<p>The HS 400 is the entry-level utility ATV in the Hisun line — single-rider, mid-three-hundred class, and priced for the customer who wants honest capability on a working budget. This is the quad Kory points first-time ATV buyers at when their property does not justify a full-size machine and they would rather buy what they need than over-spec.</p><p>Light firewood hauling, post-storm cleanup, occasional trail riding, and small-farm movement around hobby acreage — that is the customer profile. Buyers come in from properties out past Iron Bridge, from cottage country around St. Joseph Island, and from retirees who downsized to smaller acreage and just need a quad for the maintenance work that goes with rural living. Selectable 2WD/4WD lets the rider pick the drivetrain for what the day actually calls for.</p><p>Reyco is an authorised Hisun dealer. Warranty registers in-house through Lynn at the parts counter, and Ron handles Hisun-catalogue parts on demand. Lee in the service department covers the bench work for the entire ATV line — meaning even a budget-end HS 400 gets the same in-house service as the flagship Strykers. That is the part of the value proposition that matters most to working buyers.</p><p>If you are weighing the HS 400 against the Tactic or the HS 500, the question is honestly about how heavy the work is. For light to moderate utility on smaller properties, the HS 400 is enough machine without paying for capability you will not use. Stop in to White Oak Drive to see one on the floor or call 705-253-7828 to confirm availability. 11 White Oak Drive East, Sault Ste. Marie.</p><p>Accessory bundle that makes sense on the HS 400: a basic winch for property recovery, a rear cargo box for firewood loading, and a half-windshield for shoulder-season riding. Lynn at the parts counter handles orders; Ron pulls Hisun catalogue parts when needed. Trade-in conversation is open with Lynn at the parts counter if you are coming off another entry quad.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/800_bc87fbc39e87cb0e34cf722b75f2413ec7587279.png,,,,,,,,,0,Hisun,HS-HS400-26,2026,new,on_order,"Make|Hisun
Model|HS 400
Year|2026
Type|ATV
Class|ATV",8,"The HS 400 is what I sell to first-time ATV buyers and to retirees who downsized to a smaller property and just need a quad to keep up with the maintenance. I had a customer last fall who came in from a hobby farm out past Bruce Mines — small acreage, light firewood work, a few brush runs — and the HS 400 was exactly the right size. He came back in the spring for a winch, which is a good sign on a budget machine. Lee on the service bench covers the warranty side, and that matters even on the entry-level machine because it tells the customer the dealer is committed past the sale. Honest sales-floor take: do not over-spec. The HS 400 is enough for a lot of working buyers, and you can put the extra into accessories that actually get used.",,,,,,,,,,,,,atvs
237,simple,HS-SEC250-26,,2026 Hisun Sector 250 UTV,1,0,visible,"Compact two-seat utility UTV. Five factory colours — sized for tighter trails, smaller properties, and riders who do not need full-displacement power.","<p>The Sector 250 is the compact end of the Hisun utility UTV line — right-sized for smaller properties, tighter trail networks, and customers who would rather not navigate a full-size Sector through cottage paths. Two-seat configuration, the 250 series engine, and the same family of utility-UTV manners scaled down to a footprint that fits where bigger machines do not.</p><p>Five factory colours stocked: Avocado Green, Camo, Destroyer Grey, HISUN Red, and Tactical Tan. The customer profile for this one tends to be cottage owners on St. Joseph Island where the cabin trails are narrow, hobby-farm owners with under five acres, and families who want a UTV that the smaller adults in the household actually feel comfortable driving. The Jamie's Land lifestyle series Hisun shoots for this model is built around exactly that everyday use case — the small property that still earns a real machine.</p><p>Reyco is an authorised Hisun dealer. The Sector 250 warranty registers in-house — Lynn manages the parts counter and the paperwork, and Ron pulls Hisun parts when something off the catalogue is needed. Lee in the service department covers the bench work, the same way he handles the rest of the UTV line. A compact UTV gets the same in-house service treatment as a flagship Stryker — there is no junior bay for smaller machines.</p><p>For customers who want the Sector platform but not the Sector footprint, this is the right floor unit to sit. If you are between the 250 and the 550 EPS, ask yourself how tight your trails are and how much weight you actually move. The 250 wins when the answer is &quot;narrow trails, light work.&quot; Drop in to White Oak Drive to see the colour selection. 705-253-7828, 11 White Oak Drive East, Sault Ste. Marie.</p><p>Accessory packages worth a conversation on the Sector 250: a compact-fit windshield, a smaller-bed cargo box that fits the Sector platform, and the trailer-hitch mount that turns it into a working hauler for cottage trail use. Lynn manages parts orders; Ron pulls the Hisun catalogue. Trade-in talk is open if you are stepping over from a quad.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/800_sector250-085013.png,,,,,,,,,0,Hisun,HS-SEC250-26,2026,new,on_order,"Make|Hisun
Model|Sector 250
Year|2026
Type|UTV
Class|UTV",8,"The Sector 250 is the compact UTV I sell to customers whose property cannot fit a full-size Sector — and there are more of them around the Sault than you might expect. Cottage owners on St. Joseph Island, customers with cabins on the inland lakes around Goulais River, hobby farmers with smaller plots out toward Heyden — they all land on this one. The five-colour selection is the part that surprises buyers; we usually have at least three on the floor. Lee handles the service side, so the in-house support is the same as on any Hisun. Honest read: do not size up if your trails are narrow — the 250 is purpose-built and the 550 is too much UTV for tight bush. Stop in and we can walk it through.",,,,,,,,,,,,,utvs
238,simple,HS-SEC750EPS-26,,2026 Hisun Sector 750 EPS UTV,1,0,visible,"Two-seat utility UTV with electric power steering. Full-displacement Sector platform, selectable 4WD with diff-lock — built for all-day property work and trail logistics.","<p>Hauling out to camp with a full payload, then running the same machine on trail work the next morning — that is the everyday rhythm the Sector 750 EPS is built for. Two seats, the full Sector 750 platform, and electric power steering that turns an all-day work session into something your shoulders do not feel the next day. For hunt camp guys, sled-trail crews, and Northern Ontario property owners who want one machine that handles both labour and weekend trail runs.</p><p>The customers Kory steers toward this one tend to fall into two camps. The trail riders we sell to like that EPS does not punish their wrists on the rough stuff between camp and the access road. The hunt camp folks like that 4WD with a selectable diff-lock means a half-tonne of firewood, gear, or a cleaned moose quarter does not end the trip when the trail turns greasy after the first hard rain. The EPS option earns its keep the first time you spend a full day plowing the cottage road or running fence on a back-forty cleanup.</p><p>Reyco is an authorised Hisun dealer. The Sector 750 EPS warranty registers in-house at White Oak Drive — Lynn manages the parts counter where the paperwork is filed, and Ron pulls Hisun parts when the catalogue needs picking. Lee in the service department covers the bench work for the whole ATV/UTV line — engines, drivetrain, EPS, suspension. All-under-one-roof service is the part that matters most when the machine is part of how the property runs.</p><p>Two-seat layout, selectable 2WD/4WD with rear differential lock, sized for the work most of our customers actually do — trail logistics, light agricultural pulls, snow movement, and the kind of property maintenance that ought to be one machine instead of three. If you are weighing this against the Sector 750 Crew, the difference is seating: this is the two-seat workhorse, the Crew adds a back row. Drop in to see what is on the floor at 11 White Oak Drive East, or call 705-253-7828.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/800_sector-750-hisun-red-110632.png,,,,,,,,,0,Hisun,HS-SEC750EPS-26,2026,new,on_order,"Make|Hisun
Model|Sector 750 EPS
Year|2026
Type|UTV
Class|UTV",8,"Of all the Hisun utility machines on the floor, the Sector 750 EPS is the one I steer most of my hunt camp guys toward. Full-displacement Sector platform with electric power steering — that is what separates a long workday from a sore-shoulder workday once you have actually been on the seat for eight hours. I have sold these to trail riders running the access roads up past Bruce Mines and to property owners cleaning up after big windstorms; both crews tend to come back happy. Honest sales-floor take: Hisun is not giving you a Sector at Polaris pricing because it is not a Polaris — different value proposition, and the customers who get that are the ones still riding theirs three seasons later. The diff-lock matters more than most people realise the first time they actually get stuck. Lee on the service bench covers the warranty side in-house. Drop in if you want to see one on the floor — Kory or Lee can walk you through it.",,,,,,,,,,,,,utvs
239,simple,HS-STRY550-26,,2026 Hisun Stryker 550X UTV,1,0,visible,Two-seat overland-capable sport UTV. Nardo Grey factory finish — the entry into Hisun's overland-trail line for riders stepping up into more aggressive terrain.,"<p>The Stryker 550X is the entry into Hisun's overland-capable sport-trail line. Mid-displacement engine, the same long-travel suspension geometry that defines the Stryker chassis, and a Nardo Grey factory finish that distinguishes it on the floor. Two-seat configuration. For riders stepping up from a Strike toward more aggressive terrain — but not yet ready to commit to the 750X flagship.</p><p>The customer profile is the rider in transition. Buyers who have already put a season or two on a Strike 550R and want a more capable chassis without sizing up displacement. Trail crews that run forestry roads out past Hessel and Heyden where the surfaces get rough enough that suspension travel actually matters. Riders who want an overland-style machine on a budget that does not require flagship spend.</p><p>Reyco is an authorised Hisun dealer. The Stryker line registers warranty in-house at the parts counter — Lynn handles the paperwork, Ron pulls Hisun parts from the catalogue when something needs replacing. Lee in the service department covers all the ATV/UTV bench work, including the suspension and chassis side that the Stryker line specifically asks more of. Authorised-dealer status means the warranty actually means something — there is no third-party loop when you bring the machine in.</p><p>Compared against the 750X, the 550X gives you the same chassis intent at a lower spend; compared against the Strike 550R, you are paying for the overland geometry. Both are honest trade-offs the buyer should make on a test ride, not on the spec sheet. Stop in to White Oak Drive to see the Nardo Grey on the floor — sometimes a colour decides itself when you see it in person. 705-253-7828, 11 White Oak Drive East, Sault Ste. Marie.</p><p>Common accessory adds on the Stryker 550X: a full skid-plate kit for trail protection, a winch for recovery, and uprated suspension components for buyers who push the chassis hard. Lynn at the parts counter handles the Hisun-catalogue orders; Ron pulls parts as needed. Trade-in conversation is open if you are coming up from a Strike or off another sport UTV.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/800_stryker-550x-front-angle-nardo-grey-w-vents-102239.png,,,,,,,,,0,Hisun,HS-STRY550-26,2026,new,on_order,"Make|Hisun
Model|Stryker 550X
Year|2026
Type|UTV
Class|UTV",8,"The Stryker 550X is the Hisun I sell to riders moving up from the Strike line into something more chassis-aggressive. Customers I have written one up for are typically guys who have already been on a Strike 550R for a season and decided they want more suspension travel for the rougher trails they have been running. Nardo Grey is a colour that surprises customers — it shows better in person than in the catalogue. Lee covers the service side once the customer is riding, which on a Stryker matters because the chassis is set up to be ridden harder. Honest read: if you are still riding mostly maintained trails, the Strike is enough. If you have started looking at rougher Crown land, the 550X earns its keep. Stop in and let us put you on both.",,,,,,,,,,,,,utvs
240,simple,HS-STRY750CREW-26,,2026 Hisun Stryker 750 Crew UTV,1,0,visible,Four-seat sport-trail UTV. Long-travel overland suspension — for hunting parties and families who want sport capability with four-adult capacity.,"<p>The Stryker 750 Crew is the four-seat answer in the sport-trail line. Same overland-capable chassis intent as the 750X, scaled to four-adult seating without losing the suspension travel that makes the Stryker line what it is. Full Stryker 750 platform, long-travel overland suspension geometry, four passengers plus working gear.</p><p>Two customer profiles dominate this floor model. Hunting parties — four-up trips out to camps north of the Sault where everyone wants to ride together rather than split into a sport and a separate utility crew. Families with three or four adults who want a sport machine that everyone fits in, not a utility UTV with a sport sticker. The Crew configuration genuinely is a sport machine first; that is the difference between this and a Sector 750 Crew, which is utility-first.</p><p>Reyco is an authorised Hisun dealer. Warranty registers in-house at the parts counter — Lynn manages the paperwork desk, Ron pulls Hisun-catalogue parts on demand. Lee in the service department covers the bench work — engine, suspension, and the chassis side that the Stryker line asks more of than a utility UTV does. All-in-one-shop service is what makes the warranty actually useful in practice.</p><p>For hunting parties looking at a four-seater that holds up to aggressive trail use, this is the Hisun to sit. For family buyers who picked sport over utility, same answer. If you are between the Sector 750 Crew and this one, the question is what you ride more — work miles or trail miles. The Stryker Crew is the trail-first option. Drop in to White Oak Drive to see the floor unit. 11 White Oak Drive East, Sault Ste. Marie. 705-253-7828.</p><p>Accessory packages that come up on Stryker 750 Crew writeups: full-cab enclosures for shoulder-season riding, four-up harnesses, and a rear-rack cargo solution that does not interfere with the back row. Ron handles parts catalogue pulls. Trade-in is open if you are stepping up from a two-seat sport — Lynn at the parts counter starts the conversation.</p><p>11 White Oak Drive East, Sault Ste. Marie. 705-253-7828.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/800_750xc-gray-crew-front-angle-165515.png,,,,,,,,,0,Hisun,HS-STRY750CREW-26,2026,new,on_order,"Make|Hisun
Model|Stryker 750 Crew
Year|2026
Type|UTV
Class|UTV",8,"The Stryker 750 Crew is the Hisun I sell to hunting parties who do not want to split into two machines. Customers I have written up for this one tend to come in as a group — three or four guys, sometimes with the lead buyer making the call but the rest weighing in on seat space. Hunting groups north of the Sault and family camps out toward Searchmont have been the steady buyers. Lee covers the service side, and on a four-seat sport machine that gets ridden hard, that matters. Honest sales-floor take: if you are debating between a 750X plus a separate utility, the Crew almost always wins on cost and on the &quot;everyone goes&quot; logistics. Stop in and put four guys in it before you decide.",,,,,,,,,,,,,utvs
241,simple,HS-MP9750R-26,,2026 Hisun MP9 750R UTV,1,0,visible,"Flagship MP9 sport UTV. Four factory colours, full sport-trail suspension — for riders who want maximum MP9 platform power.","<p>The MP9 750R is the flagship of the MP9 sport line — the full-displacement spec on Hisun's pure-sport chassis. Two-seat configuration, sport-trail suspension geometry, and the engine class that puts it directly against the bigger-name flagships in the sport-trail segment. Four factory colours stocked: Camo, Gray, Red, and Tan.</p><p>The customer profile here is the sport-first rider who wants the MP9 platform with everything turned up. Riders who have already ridden a 550R and decided they want more, or buyers coming from another brand's flagship looking for value without losing capability. The MP9 platform is different from the Strike chassis on intent — pure sport, not sport-utility — and the 750R is where that intent comes through hardest.</p><p>Reyco is an authorised Hisun dealer. Lynn manages the parts counter where the MP9 warranty paperwork registers, and Ron handles parts pulls from the Hisun catalogue. Lee in the service department covers the bench work for the whole ATV/UTV line — including the suspension and chassis side that the MP9 platform pushes harder than a utility UTV does. All-in-one-shop service is part of why customers come back to the dealer for the next machine.</p><p>If you are weighing the MP9 750R against the Stryker 750X, the chassis intent is the difference: the MP9 is sport-first, the Stryker is overland-first. Both run the 750-class engine; the suspension geometry is what diverges. Drop in to sit both and feel the difference yourself — easier than describing it. 11 White Oak Drive East, Sault Ste. Marie. 705-253-7828.</p><p>Common accessory adds on the MP9 750R: full skid-plate kits, winch packages, uprated suspension components for sport-aggressive riders, and the MP9-line factory storage solutions. Ron pulls the Hisun catalogue parts; Lynn manages the orders. Worth asking before going aftermarket — factory-fit gear holds up better through the kind of riding the 750R gets put through.</p><p>11 White Oak Drive East, Sault Ste. Marie. 705-253-7828.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/800_mp9-400-front-angle-red-no-winch-web-105838-1.png,,,,,,,,,0,Hisun,HS-MP9750R-26,2026,new,on_order,"Make|Hisun
Model|MP9 750R
Year|2026
Type|UTV
Class|UTV",8,"The MP9 750R is the Hisun I sell to riders who already know they want sport, not sport-utility. Most of the customers I have put on this one have been guys coming up from the MP9 550R or trading down from a bigger-name flagship because they realised the value gap was not worth it. Camo and Red move first in our shop; Gray finds the buyer who wants something cleaner-looking on the trailer. Lee handles the service side including the more demanding chassis work that the MP9 platform asks for. Honest sales-floor read: if you are debating sport-first versus overland, ride both. The MP9 is the sport one, full stop. Stop in if you want to see the colour selection live.",,,,,,,,,,,,,utvs
242,simple,HS-MP9T400-26,,2026 Hisun MP9T400 UTV,1,0,visible,Trail-focused entry sport UTV. Two-seat — sized for adult riders moving up from a quad into their first sport side-by-side.,"<p>The MP9T400 is the entry-level point of the MP9 sport-trail line. Right-sized for adult riders making the move from an ATV into their first sport side-by-side. Two-seat configuration, mid-three-hundred-class engine, and the MP9 chassis intent scaled down to a sensible starting price. Hisun's lifestyle photography from the Cammo Whatley shoots shows the machine in the trail conditions it was actually built for.</p><p>The customer base for this one is mostly riders in transition. Long-time quad guys finally moving to a side-by-side, customers who want the MP9 sport feel without committing to the 550R or 750R spend, and trail riders who do not need flagship capability — they want a sport UTV that is enough machine for the way they actually ride. Riders running the trails out around Bellevue Valley and the back-loop networks toward Iron Bridge are the kind of customer who tends to size right onto the MP9T400.</p><p>Reyco is an authorised Hisun dealer. Warranty registers in-house — Lynn handles the parts counter and the MP9T400 paperwork, and Ron pulls catalogue parts when something needs replacing. Lee in the service department covers the bench work for the entire MP9 line, including the entry spec. Authorised-dealer status means the entry-level customer gets the same warranty support as the flagship buyer.</p><p>If you are sitting on the fence between staying on a quad and moving up, this is the floor model that lowers the cost of the experiment. It is enough sport UTV to know whether you actually want one without paying for capability you may not use. Drop in to White Oak Drive to sit one. 11 White Oak Drive East, Sault Ste. Marie. 705-253-7828.</p><p>Common accessory adds on the MP9T400: half-windshield for shoulder-season trail comfort, a basic rear-rack solution, and a winch package for solo-rider recovery. Lynn manages parts orders; Ron handles the Hisun catalogue pulls. Trade-in conversation is open if you are coming off a quad you have ridden into the ground — bring it in for an honest read.</p><p>11 White Oak Drive East, Sault Ste. Marie. 705-253-7828.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/800_mp9-400-front-angle-red-no-winch-web-105838-2.png,,,,,,,,,0,Hisun,HS-MP9T400-26,2026,new,on_order,"Make|Hisun
Model|MP9T400
Year|2026
Type|UTV
Class|UTV",8,"The MP9T400 is the sport Hisun I sell to riders making their first move up from a quad. Most of the customers I have put on this one were happy on an ATV but ready for two-up sport riding without spending flagship money on the experiment. I had a buyer last summer who came in from a property up around Iron Bridge — long-time quad rider, finally wanted a side-by-side — and the T400 was right-sized for him. Lee covers the service side in-house. Honest sales-floor take: if you are not sure you will love a sport UTV, this is the right way to find out without over-spending. Step up to the 550R later if it turns out you do.",,,,,,,,,,,,,utvs
398,simple,,,2026 Easy Hauler AL-PTDB2023 Trailer,1,0,visible,"New 2026 Easy Hauler trailer stocked at White Oak Drive. Sized for sleds, quads, and the gear that moves out to camp every weekend.","<p>For the customer who has been moving sleds and quads on borrowed trailers and decided it is time to own one, the 2026 Easy Hauler AL-PTDB2023 is on the floor at Reyco. Sized for the kind of hauling Northern Ontario winter and shoulder-season actually demands — a sled out to the trail head, a quad up to camp, a small load of gear going somewhere it needs to be tied down properly.</p><p>Reyco stocks the Easy Hauler line at White Oak Drive. We are not the authorised Easy Hauler dealer — that is a different setup — but we keep them on the floor because the customers who buy sled and quad equipment from us also need a way to move it. If you have bought a Hisun off our floor or a sled service has gone through Lee in the back, the trailer that ties it together is right out front.</p><p>The use case Kory tends to see most: weekend trips out to camp on the Sault-to-Wawa run, ice-fishing rigs heading to lakes around Searchmont, and the customers who take their quad to forestry-road meet-ups around Bruce Mines. A trailer is not a glamour purchase; what makes it the right call is whether it suits the load you actually move. The AL-PTDB2023 is sized for that mid-range haul that covers most of how our customers use a trailer in real life.</p><p>Stop in to see this one on the floor — easier to spec out a trailer in person than on paper. Lynn and Ron at the parts counter can talk through accessories — tie-downs, ramps, locks — that round out the rig. 11 White Oak Drive East, Sault Ste. Marie. 705-253-7828.</p><p>Worth a conversation on the floor: trailer locks for camp-storage security, factory-fit ramp options, and lighting kits for night-haul setups. Lynn manages the trailer orders. Trade-in talk is open if you are coming off a smaller hauler — we will give you an honest read on what your existing trailer is worth toward the upgrade.</p>",,,taxable,,1,,,0,0,,,,,1,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/31741781-7.jpg,,,,,,,,,0,Easy Hauler,306,2026,new,in_stock,"Make|Easy Hauler
Model|AL-PTDB2023
Year|2026
Type|Trailer
